Confirmed,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
6,6,6,6,6,6,6,5,5,5,4,3,3,3,2
11,6,6,6,6,6,6,6,5,5,5,4,3,3,3
11,11,6,6,6,6,6,6,6,5,5,5,4,3,3
11,11,11,6,6,6,6,6,6,6,5,5,5,4,3
11,11,11,11,6,6,6,6,6,6,6,5,5,5,4
11,11,11,11,11,6,6,6,6,6,6,6,5,5,5
11,11,11,11,11,11,6,6,6,6,6,6,6,5,5
11,11,11,11,11,11,11,6,6,6,6,6,6,6,5
12,11,11,11,11,11,11,11,6,6,6,6,6,6,6
12,12,11,11,11,11,11,11,11,6,6,6,6,6,6
12,12,12,11,11,11,11,11,11,11,6,6,6,6,6
12,12,12,12,11,11,11,11,11,11,11,6,6,6,6
12,12,12,12,12,11,11,11,11,11,11,11,6,6,6
12,12,12,12,12,12,11,11,11,11,11,11,11,6,6
12,12,12,12,12,12,12,11,11,11,11,11,11,11,6
12,12,12,12,12,12,12,12,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,11,11,11,11,11
14,12,12,12,12,12,12,12,12,12,12,11,11,11,11
18,14,12,12,12,12,12,12,12,12,12,12,11,11,11
38,18,14,12,12,12,12,12,12,12,12,12,12,11,11
57,38,18,14,12,12,12,12,12,12,12,12,12,12,11
100,57,38,18,14,12,12,12,12,12,12,12,12,12,12
130,100,57,38,18,14,12,12,12,12,12,12,12,12,12
191,130,100,57,38,18,14,12,12,12,12,12,12,12,12
204,191,130,100,57,38,18,14,12,12,12,12,12,12,12
288,204,191,130,100,57,38,18,14,12,12,12,12,12,12
380,288,204,191,130,100,57,38,18,14,12,12,12,12,12
656,380,288,204,191,130,100,57,38,18,14,12,12,12,12
959,656,380,288,204,191,130,100,57,38,18,14,12,12,12
1136,959,656,380,288,204,191,130,100,57,38,18,14,12,12
1219,1136,959,656,380,288,204,191,130,100,57,38,18,14,12
1794,1219,1136,959,656,380,288,204,191,130,100,57,38,18,14
2293,1794,1219,1136,959,656,380,288,204,191,130,100,57,38,18
2987,2293,1794,1219,1136,959,656,380,288,204,191,130,100,57,38
3681,2987,2293,1794,1219,1136,959,656,380,288,204,191,130,100,57
4496,3681,2987,2293,1794,1219,1136,959,656,380,288,204,191,130,100
5590,4496,3681,2987,2293,1794,1219,1136,959,656,380,288,204,191,130
6683,5590,4496,3681,2987,2293,1794,1219,1136,959,656,380,288,204,191
7715,6683,5590,4496,3681,2987,2293,1794,1219,1136,959,656,380,288,204
9124,7715,6683,5590,4496,3681,2987,2293,1794,1219,1136,959,656,380,288
10970,9124,7715,6683,5590,4496,3681,2987,2293,1794,1219,1136,959,656,380
12758,10970,9124,7715,6683,5590,4496,3681,2987,2293,1794,1219,1136,959,656
14463,12758,10970,9124,7715,6683,5590,4496,3681,2987,2293,1794,1219,1136,959
16243,14463,12758,10970,9124,7715,6683,5590,4496,3681,2987,2293,1794,1219,1136
20123,16243,14463,12758,10970,9124,7715,6683,5590,4496,3681,2987,2293,1794,1219
22622,20123,16243,14463,12758,10970,9124,7715,6683,5590,4496,3681,2987,2293,1794
25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,5590,4496,3681,2987,2293
29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,5590,4496,3681,2987
33402,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,5590,4496,3681
38105,33402,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,5590,4496
40708,38105,33402,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,5590
45170,40708,38105,33402,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683
52827,45170,40708,38105,33402,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715
57749,52827,45170,40708,38105,33402,29551,25600,22622,20123,16243,14463,12758,10970,9124
59929,57749,52827,45170,40708,38105,33402,29551,25600,22622,20123,16243,14463,12758,10970
65202,59929,57749,52827,45170,40708,38105,33402,29551,25600,22622,20123,16243,14463,12758
69500,65202,59929,57749,52827,45170,40708,38105,33402,29551,25600,22622,20123,16243,14463
71412,69500,65202,59929,57749,52827,45170,40708,38105,33402,29551,25600,22622,20123,16243
75343,71412,69500,65202,59929,57749,52827,45170,40708,38105,33402,29551,25600,22622,20123
79163,75343,71412,69500,65202,59929,57749,52827,45170,40708,38105,33402,29551,25600,22622
83057,79163,75343,71412,69500,65202,59929,57749,52827,45170,40708,38105,33402,29551,25600
87366,83057,79163,75343,71412,69500,65202,59929,57749,52827,45170,40708,38105,33402,29551
91738,87366,83057,79163,75343,71412,69500,65202,59929,57749,52827,45170,40708,38105,33402
94863,91738,87366,83057,79163,75343,71412,69500,65202,59929,57749,52827,45170,40708,38105
121712,94863,91738,87366,83057,79163,75343,71412,69500,65202,59929,57749,52827,45170,40708
125394,121712,94863,91738,87366,83057,79163,75343,71412,69500,65202,59929,57749,52827,45170
130365,125394,121712,94863,91738,87366,83057,79163,75343,71412,69500,65202,59929,57749,52827
133585,130365,125394,121712,94863,91738,87366,83057,79163,75343,71412,69500,65202,59929,57749
146075,133585,130365,125394,121712,94863,91738,87366,83057,79163,75343,71412,69500,65202,59929
148084,146075,133585,130365,125394,121712,94863,91738,87366,83057,79163,75343,71412,69500,65202
148086,148084,146075,133585,130365,125394,121712,94863,91738,87366,83057,79163,75343,71412,69500
153011,148086,148084,146075,133585,130365,125394,121712,94863,91738,87366,83057,79163,75343,71412
155393,153011,148086,148084,146075,133585,130365,125394,121712,94863,91738,87366,83057,79163,75343
158168,155393,153011,148086,148084,146075,133585,130365,125394,121712,94863,91738,87366,83057,79163
155980,158168,155393,153011,148086,148084,146075,133585,130365,125394,121712,94863,91738,87366,83057
158303,155980,158168,155393,153011,148086,148084,146075,133585,130365,125394,121712,94863,91738,87366
159952,158303,155980,158168,155393,153011,148086,148084,146075,133585,130365,125394,121712,94863,91738
161644,159952,158303,155980,158168,155393,153011,148086,148084,146075,133585,130365,125394,121712,94863
162220,161644,159952,158303,155980,158168,155393,153011,148086,148084,146075,133585,130365,125394,121712
165963,162220,161644,159952,158303,155980,158168,155393,153011,148086,148084,146075,133585,130365,125394